dependency,special dependency,lecture,frequency,starting semester,creds
Algoritmos,,Redes del pc,1,2022,2
Analisis estadistico,,Analisis avanzado datos,0,2022.5,2
Redes del pc,,Computacion en nube,0,2022.5,2
Redes del pc; Analisis estadistico,,Big data,0,2022,2
Optimizacion; Algebra lineal,,Machine learning,1,2022,2
