dependency,special dependency,lecture,frequency,starting semester,creds
Var. compleja,,Procesamiento señales,1,2022,2
Proba 1,,IA,0,2022.5,2
Procesamiento señales,,Vision por pc,0,2022,2
Procesamiento señales,,NLP,0,2022,2
Optimizacion; Algebra lineal,,Machine learning,1,2022,2
